t	V	m	X	Y	teta	R	G	Mach	delta	alpha	C_xa	C_ya	AD_K	m_z	alpha_max	alpha_min	mu	n_xa	n_ya	n_ya_potr	n_ya_rasp_max	n_ya_rasp_min
0.0	250.0	200.0	0.0	5000.0	0.0	30000.0	10.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	14.0	2.0	0.0	13.0	-13.0
0.1	264.5733895656653	199.0	25.0	5000.0	0.28353409616892394	30000.0	10.0	0.8254603427523188	-2.9689686822597285	6.186208248138429	0.792743467375499	1.477665286334994	1.8639892312541353	0.002723498402150276	30.5	-30.5	0.008333333333333333	14.885331661168069	2.397873992853267	0.7711404015446994	14.370847859043078	-14.370847859043078
0.2	279.16606079414316	198.0	51.457015052336466	5000.130916702887	0.580427784326986	30000.0	10.0	0.8709904502914754	-3.1252301918523457	6.369291067123412	0.8048979163514808	1.5297288100252806	1.9005252454365684	0.005353682150277428	30.249999999999996	-30.249999999999996	0.016666666666666666	14.90297814530224	2.572743400091637	0.8754865090906052	15.181467704492162	-15.18146770449216
0.30000000000000004	293.77095625353536	197.0	79.37218889091517	5000.413696750138	0.8970086900882432	30000.0	10.0	0.9165606180370137	-3.1252301918523457	6.515972018241882	0.8419458603607259	1.5969052576227662	1.8966840183032472	-0.0022660546600045822	30.249999999999996	-30.249999999999996	0.025	14.902264606211068	2.7599361414404657	0.9978682584674443	16.21244551673893	-16.21244551673893
0.4	308.36973428042495	196.0	108.74568491787824	5000.873564704176	1.2336702923675753	30000.0	10.0	0.9621141928407247	-3.1252301918523457	6.621321678161621	0.9251151694779013	1.6467189811424294	1.7800151110610076	-0.003962327652325737	30.5	-30.5	0.03333333333333333	14.863627452521081	2.939101118665766	1.1395378094237023	17.478317148389053	-17.478317148389053
0.5	322.92486138772915	195.0	139.57551150781632	5001.53743414627	1.587061639751197	30000.0	10.0	1.0075347212869785	-3.1252301918523457	6.717672824859618	1.007560520132144	1.6931143158702353	1.6804095456699506	-0.005465890626371553	30.999999999999996	-30.999999999999996	0.041666666666666664	14.811779778481055	3.1263461063194176	1.2913511173178944	19.06163004650519	-19.06163004650519
0.6	337.42309699553965	194.0	171.85561190350336	5002.431738047194	1.9571335335906304	30000.0	10.0	1.0527815957604127	-3.1252301918523457	6.805166602134704	1.0892173790764696	1.7361236321601736	1.593918409227188	-0.006769912263316136	31.25	-31.25	0.05	14.746117994812062	3.3213991437892125	1.4530348774852364	20.528909346664427	-20.52890934666443
0.7	351.8506098077224	193.0	205.5782411876083	5003.584013199855	2.3438203930142794	30000.0	10.0	1.0978124372511389	-3.1252301918523457	6.884057760238647	1.1700250826473608	1.7758235245759333	1.5177653461563925	-0.007872708148286583	31.749999999999993	-31.749999999999993	0.058333333333333334	14.666100150861613	3.523960013343269	1.6242448718869256	22.33757059203614	-22.33757059203614
0.7999999999999999	366.193038613458	192.0	240.73387102253037	5005.022834637907	2.747041600298008	30000.0	10.0	1.142583285205211	-3.1252301918523457	6.984511613845823	1.1615446869872945	1.8040351362540354	1.5531345082668944	-0.008908005028520141	31.874999999999996	-31.874999999999996	0.06666666666666667	14.65825341875844	3.73367735158075	1.7963404716184002	23.609262782742654	-23.609262782742654
0.8999999999999999	380.5208782673541	191.0	277.3111004642165	5006.777742515781	3.1666990764163603	30000.0	10.0	1.1873150213388433	-3.1252301918523457	7.082340307533742	1.1481724332559862	1.8294231838608617	1.5933348779964915	-0.009490794921049775	31.984374999999996	-31.984374999999996	0.075	14.653579371448725	3.951496344254252	1.9768750187284068	24.895297348457795	-24.895297348457795
0.9999999999999999	394.8369615651128	190.0	315.3050928166233	5008.8796305001515	3.602776545399137	30000.0	10.0	1.2320175058484282	-3.1252301918523457	7.176345825195306	1.1344680134120195	1.8525671616516854	1.63298316016854	-0.009630628417270803	31.99999999999997	-31.99999999999997	0.08333333333333333	14.648142814924487	4.177422543657458	2.1662012842148597	26.117078451190725	-26.117078451190725
1.0999999999999999	409.14026317782105	189.0	354.7107682207935	5011.360559382824	4.055259757413632	30000.0	10.0	1.276688649547627	-3.1252301918523457	7.266769409179682	1.1204535093786956	1.8736059384033408	1.6721853452378197	-0.009350622886372298	31.99999999999997	-31.99999999999997	0.09166666666666666	14.64213840948262	4.411415140717794	2.364217668988982	27.35153791091314	-27.35153791091314
1.2	423.4299497275702	188.0	395.5223735279898	5014.253727504761	4.524133833899087	30000.0	10.0	1.3213270532892938	-3.1252301918523457	7.353866577148431	1.1061508708510122	1.8926794911172	1.711050039368568	-0.008673218565945634	31.99999999999997	-31.99999999999997	0.1	14.635762182128623	4.653442271666734	2.570818109861562	28.614152216018706	-28.614152216018706
1.3	437.705381254049	187.0	437.7334555011372	5017.59345532588	5.009384505911521	30000.0	10.0	1.3659320154680326	-3.1252301918523457	7.437866210937496	1.0915795709139926	1.9099136149965292	1.7496787828278388	-0.007618573757527114	31.99999999999997	-31.99999999999997	0.10833333333333334	14.629215630923945	4.903452551712224	2.7859041165281715	29.903512660572922	-29.903512660572922
1.4000000000000001	451.9661166941462	186.0	481.3368327043243	5021.415170158793	5.510995457787055	30000.0	10.0	1.4105035520479365	-3.1252301918523457	7.518997192382805	1.0767581514766964	1.925430077569402	1.7881732076314565	-0.006205636133461895	31.99999999999997	-31.99999999999997	0.11666666666666667	14.622702793003246	5.161395905501785	3.0093780262968397	31.21817772409404	-31.21817772409404
