t	V	m	X	Y	teta	R	G	Mach	delta	alpha	C_xa	C_ya	AD_K	m_z	_m	n_xa	n_ya
0.0	250.0	200.0	0.0	5000.0	0.0	30000.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0
0.01	251.47346580035926	199.9	2.5	5000.0	-4.5286549950070536e-11	30000.0	10.0	0.7845878105056651	-0.02181661564992912	0.06494184897185472	0.5312663582540862	0.015126568619862928	0.028472664201011605	-0.0008648836032313402	0.000833333333333286	15.029939400207649	0.9999998354645468
0.02	252.94739935255416	199.8	5.014734658003594	4999.999999999886	-1.0945004316426299e-10	30000.0	10.0	0.7891864280769726	-0.02181661564992912	0.06490373247875299	0.5311910269979317	0.01512856243259156	0.02848045554928108	-0.0008678702622517933	0.001666666666666572	15.03469727630751	0.9999996577461168
0.03	254.42179949301197	199.7	7.544208651529137	4999.99999999961	-2.4214024091329713e-10	30000.0	10.0	0.7937865013862124	-0.02181661564992912	0.06486561598565121	0.5311156705375225	0.01513054618232339	0.028488231512751882	-0.00087085299657386	0.002499999999999858	15.039443221963305	0.9999999932891576
0.04	255.8966650517624	199.6	10.088426646459254	4999.999999998994	-2.4472692499580133e-10	30000.0	10.0	0.7983880267831197	-0.02181661564992912	0.06482741626876537	0.5310402873470705	0.015132494957326915	0.02849594525666715	-0.0008738282089698043	0.003333333333333144	15.04417729697402	0.9999995587132892
0.05	257.3719948646801	199.50000000000003	12.647393296976876	4999.999999998368	-4.1383988787436613e-10	30000.0	10.0	0.8029910006356697	-0.02181661564992912	0.06478921655187958	0.5309648790661528	0.015134433603385025	0.02850364346132097	-0.0008767994651715517	0.00416666666666643	15.048899394390652	0.9999996381813931
0.06000000000000001	258.84778775718064	199.40000000000003	15.221113245623679	4999.999999997302	-5.517037002007313e-10	30000.000000000004	10.0	0.8075954192791991	-0.02181661564992912	0.06475101683499376	0.5308894457538272	0.015136362103094396	0.028511326085230014	-0.0008797667574352994	0.004999999999999716	15.053609490667993	1.0000002328672626
0.07	260.32404255235133	199.30000000000004	17.809591123195485	4999.999999995874	-4.6348012446898016e-10	30000.0	10.0	0.8122012790417842	-0.02181661564992912	0.06471273389432389	0.5308139858793222	0.015138255497839353	0.028518946185568213	-0.0008827264644031572	0.0058333333333330005	15.058307645662445	1.0000000570055585
0.08	261.80075807913016	199.20000000000005	20.412831548719	4999.999999994668	-4.420055977697799e-10	30000.0	10.0	0.8168085762697619	-0.02181661564992912	0.06467445095365397	0.5307385010879193	0.015140138680238916	0.028526550550232045	-0.0008856821758641539	0.006666666666666288	15.062993752466848	1.0000003971147018
0.09	263.2779331559998	199.10000000000005	23.030839129510298	4999.999999993511	-2.932525949568015e-10	30000.0	10.0	0.8214173072768401	-0.02181661564992912	0.06463608478920001	0.5306629898455202	0.01514198666039261	0.028534092164219992	-0.0008886302543462233	0.007499999999999574	15.067667870976733	0.9999999658284484
0.1	264.7555666072977	199.00000000000009	25.6636184610703	4999.9999999927395	-3.0598090994951327e-10	30000.0	10.0	0.8260274683949996	-0.02181661564992912	0.06459771862474606	0.5305874538012052	0.015143824362163856	0.028541617887251774	-0.0008915743056950966	0.00833333333333286	15.072329894313366	1.0000000512425726
0.11	266.2336572469084	198.90000000000006	28.311174127143275	4999.999999991928	-2.870004601211228e-10	30000.0	10.0	0.8306390559235999	-0.02181661564992912	0.0645593108484001	0.530511892216089	0.015145639266239415	0.028549104154804262	-0.0008945124992156428	0.009166666666666145	15.076979840714172	1.000000009447827
0.11999999999999998	267.7122038904859	198.80000000000007	30.97351069961236	4999.999999991164	-2.835203767512545e-10	30000.0	10.0	0.8352520661675267	-0.02181661564992912	0.06452090307205409	0.5304363059465012	0.015147443841473185	0.028556574411784188	-0.0008974466419740492	0.009999999999999431	15.081617645032749	1.0000004858615859
0.12999999999999998	269.1912053473003	198.70000000000007	33.65063273851722	4999.999999990405	-1.0554288996364027e-10	30000.0	10.0	0.8398664954117465	-0.02181661564992912	0.064482370460032	0.5303606926513698	0.015149200517797891	0.028563957939764118	-0.0009003712332470568	0.01083333333333272	15.086243408946117	0.9999995440274214
0.14	270.670660436574	198.60000000000008	36.34254479199022	4999.999999990121	-2.716539440746853e-10	30000.0	10.0	0.8444823399722832	-0.02181661564992912	0.06444392107179397	0.5302850563881417	0.015150971834311962	0.028571372419030083	-0.000903295403990066	0.011666666666666005	15.090856900523205	1.0000004128268103
0.15	272.1505679548359	198.50000000000009	39.04925139635596	4999.999999989386	-1.220829475433826e-10	30000.0	10.0	0.8490995960943408	-0.02181661564992912	0.06440538845977191	0.5302093940142847	0.015152707687651737	0.028578723535863076	-0.0009062118143932824	0.012499999999999291	15.095458263196946	1.0000005091180348
0.16	273.63092671261563	198.40000000000006	41.77075707590432	4999.999999989054	6.137220428299304e-11	30000.0	10.0	0.8537182600668266	-0.02181661564992912	0.06436677262396577	0.5301337055842973	0.015154408013446741	0.02858601113985765	-0.0009091204324159928	0.013333333333332576	15.100047473587745	0.9999998316144342
0.17	275.1117355181782	198.30000000000007	44.50706634303047	4999.999999989223	1.024555392294515e-12	30000.0	10.0	0.8583383281715724	-0.02181661564992912	0.0643281567881596	0.5300579927605656	0.0151560978450793	0.0285932823428351	-0.0009120249202550488	0.01416666666666586	15.10462442492044	0.999999673991138
0.18000000000000002	276.59299316934454	198.20000000000007	47.258183698212264	4999.999999989225	-1.1518476595009421e-10	30000.0	10.0	0.8629597966578175	-0.02181661564992912	0.06428954095235348	0.5299822556035749	0.015157777165102476	0.0286005371025864	-0.0009149252700646237	0.014999999999999148	15.10918909385959	1.0000000373768836
0.19000000000000006	278.0746984616288	198.10000000000008	50.0241136299057	4999.999999988907	-1.0193273048672245e-10	30000.0	10.0	0.8675826617676097	-0.02181661564992912	0.06425084189276327	0.5299064925625916	0.015159420826923403	0.028607728042005075	-0.0009178177635424994	0.015833333333332433	15.113741540508029	0.9999996262949652
0.20000000000000004	279.55685019642107	198.00000000000009	52.80486061452199	4999.999999988623	-2.3372445770772216e-10	30000.0	10.0	0.8722069197613338	-0.02181661564992912	0.06421214283317303	0.5298307053057077	0.015161053910938825	0.028614902381301262	-0.0009207060871091408	0.01666666666666572	15.118281658136981	0.999999736840182
0.21000000000000005	281.0394471646717	197.90000000000006	55.600429116486204	4999.999999987971	-3.260389986234148e-10	30000.0	10.0	0.8768325668667966	-0.02181661564992912	0.0641734437735828	0.5297548938937667	0.015162676399696796	0.02862206007810361	-0.0009235902328974086	0.017499999999999006	15.122809423467016	1.000000370130669
0.22000000000000008	282.52248815503015	197.80000000000013	58.41082358813291	4999.999999987054	-1.9688481895941887e-10	30000.0	10.0	0.8814595993046301	-0.02181661564992912	0.06413466149020852	0.5296790567710424	0.015164263099508897	0.028629153646268776	-0.0009264664582703763	0.01833333333333229	15.127324896667027	1.000000228221037
0.2300000000000001	284.0059719620284	197.7000000000001	61.23604846968321	4999.999999986498	-1.176669185828882e-10	30000.0	10.0	0.8860880133138269	-0.02181661564992912	0.06409583759494222	0.5296031948020961	0.015165826541856959	0.028636206674554108	-0.0009293366024730877	0.019166666666665576	15.131828012771859	0.9999999596996942
0.2400000000000001	285.48989737385443	197.6000000000001	64.0761081893035	4999.999999986164	-1.3158250601730277e-10	30000.0	10.0	0.8907178051135766	-0.02181661564992912	0.0640570136996759	0.5295273088553739	0.015167379289583647	0.028643242824188706	-0.0009322025209484476	0.019999999999998862	15.13631870683779	1.0000002147916591
0.2500000000000001	286.9742631723314	197.5000000000001	66.93100716304204	4999.999999985788	-5.780102929389172e-11	30000.0	10.0	0.8953489709032108	-0.02181661564992912	0.06401814819251755	0.5294513981811727	0.015168908713543169	0.028650238276172288	-0.0009350623262382591	0.02083333333333215	15.140796997381814	1.000000343831228
0.2600000000000001	288.4590681410809	197.40000000000012	69.80074979476535	4999.999999985624	5.969496056043165e-11	30000.0	10.0	0.8999815068876759	-0.02181661564992912	0.06397919946157515	0.5293754620261361	0.01517040215318924	0.028657169138754407	-0.00093791411463624	0.02166666666666544	15.145262902938425	0.9999996954936734
0.2700000000000001	289.94431106554606	197.30000000000013	72.68534047617618	4999.9999999857955	-4.382707419406546e-11	30000.0	10.0	0.9046154092776026	-0.02181661564992912	0.06394025073063273	0.5370024944992902	0.015171878146415959	0.028252900688222064	-0.0009349832532814127	0.02249999999999872	15.14500602060428	0.9999995675119804
0.2800000000000001	291.42952879847	197.20000000000016	75.58478358683163	4999.999999985667	-1.901054620369729e-10	30000.0	10.0	0.9092492330708593	-0.02181661564992912	0.06390130199969032	0.5446602635098571	0.015173340836658132	0.027858358417556062	-0.0009320296272760995	0.02333333333333201	15.14461706207869	0.9999999336849308
0.2900000000000001	292.91470838760694	197.10000000000016	78.49907887481632	4999.9999999851125	-2.1242058834811938e-10	30000.0	10.0	0.9138829378569217	-0.02181661564992912	0.06386227004496386	0.5523178361577167	0.015174764857552878	0.027474696386990592	-0.0009290726340212244	0.02416666666666529	15.14411394919791	0.9999994888790824
0.3000000000000001	294.3998386382268	197.00000000000014	81.42822595869241	4999.999999984491	-3.835415257048089e-10	30000.0	10.0	0.9185164887086548	-0.02181661564992912	0.06382323809023738	0.5599751563387881	0.01517617536263704	0.027101515470545918	-0.0009261160572604573	0.024999999999998582	15.143495758390847	0.9999995360928988
