t	V	m	X	Y	teta	R	G	Mach	delta	alpha	C_xa	C_ya	AD_K	m_z	alpha_max	alpha_min	mu	n_xa	n_ya	n_ya_potr	n_ya_rasp_max	n_ya_rasp_min
0.0	250.0	200.0	0.0	5000.0	0.0	30000.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	13.0	-13.0
0.1	264.71287290525584	199.0	25.0	5000.0	-1.2325262971305785e-07	30000.0	10.0	0.8258955262206774	-1.2500920767409385	2.674584865570069	0.6151336515700986	0.5628479016205409	0.915000992359789	-0.005920195858614398	30.5	-30.5	0.008333333333333333	15.046883978645125	1.000000675877958	0.2827153279629452	14.379252456454205	-14.379252456454205
0.2	279.4688253842832	198.0	51.47128729052558	4999.99999994306	2.021982189420498e-08	30000.0	10.0	0.871933616486688	-1.2500920767409385	2.5823146104812618	0.6135143438311463	0.5401740864437502	0.8804587730917321	-0.0034799928365774266	30.25	-30.25	0.016666666666666666	15.089344481600502	1.000000758568181	0.3039460521720466	15.201102432382502	-15.2011024323825
0.30000000000000004	294.26641738998586	197.0	79.4181698289539	4999.999999952922	1.727432471275466e-07	30000.0	10.0	0.9181016207179912	-1.2500920767409385	2.492465496063231	0.642080371463579	0.5179153796079347	0.8066207948817706	0.00011992010276177383	30.25	-30.25	0.025	15.111390940235365	1.0000017639249634	0.3247386059641637	16.244616606254258	-16.244616606254258
0.4	309.0856295834354	196.0	108.8448115679525	5000.000000041635	5.095763005020899e-07	30000.0	10.0	0.964337079230602	-1.2500920767409385	2.405354976654053	0.7176102242804482	0.4962037053627786	0.6914668835165007	0.005416793179716311	30.5	-30.5	0.03333333333333333	15.09520654506976	1.0000040910118653	0.3449996901660424	17.52901672420038	-17.52901672420038
0.5	323.888970301235	195.0	139.75337452629606	5000.000000316509	1.253326718642958e-06	30000.0	10.0	1.0105230192595482	-1.093830567148321	2.3212690353393555	0.7888146602724408	0.5049297974890631	0.640112085790432	-0.004211886502132507	31.0	-31.0	0.04166666666666666	15.069736688969202	1.0228388338820686	0.36464269311370345	19.136552156346898	-19.136552156346898
0.6	338.66733360987286	194.0	172.14227155641956	5000.000001024953	0.003963605422147379	30000.0	10.0	1.0566310305930362	-1.093830567148321	2.1936595439910884	0.8634445176678179	0.4701026625801367	0.5444503415805962	0.002823741653377218	31.25	-31.25	0.05	15.029068264088082	1.0000022820788623	0.3964581875729093	20.63352571696602	-20.63352571696602
0.7	353.4057470036628	193.0	206.00900483638264	5000.0023436840775	0.003963984464462902	30000.0	10.0	1.1026144323207925	-0.9375690575557036	2.114832758903503	0.9285610526602674	0.479218448890619	0.5160871732856867	-0.007858440412110066	31.749999999999996	-31.749999999999996	0.05833333333333333	14.982555176156266	1.0272490127340668	0.4151209375394583	22.464448947695175	-22.464448947695175
0.7999999999999999	368.09854663358885	192.0	241.34957945218238	5000.004788526819	0.008296623417051181	30000.0	10.0	1.1484555248154924	-0.9375690575557036	1.9991031289100645	0.9094632362178352	0.4412872750666296	0.4852172770631183	-0.0012809585294464266	31.875	-31.875	0.06666666666666668	15.007836561241392	0.999998427676978	0.444234187118256	23.75526974575241	-23.75526974575241
0.8999999999999999	382.8160646817568	191.0	278.1594337296832	5000.010118326139	0.008296384994192768	30000.0	10.0	1.1943737846248017	-0.9375690575557036	1.9348144531249984	0.8911151425522024	0.4196362131746573	0.4709113257494382	0.0026531974387507327	31.999999999999968	-31.999999999999968	0.075	15.032045345222794	1.0000006261249932	0.4592837893343054	25.095355132744718	-25.095355132744718
1.0	397.55732344114836	190.0	316.44103979659627	5000.015661065132	0.008296478439276169	30000.0	10.0	1.2403661242722803	-0.9375690575557036	1.8734283447265607	0.872781056449143	0.3991846171667509	0.4573708540270219	0.0062706412702692865	31.999999999999968	-31.999999999999968	0.08333333333333333	15.0565280019042	0.9999985347895046	0.473677332652833	26.341816068804604	-26.341816068804604
1.1	412.32259148345514	189.0	356.1967717239875	5000.021417305536	0.008296272823016228	30000.0	10.0	1.2864333820913876	-0.9375690575557036	1.8148345947265607	0.8544591285495743	0.3798781740663007	0.4445832004991691	0.009587950670665472	31.999999999999968	-31.999999999999968	0.09166666666666666	15.081463928638543	1.000001119459394	0.4874354118995343	27.62331787126411	-27.623317871264106
1.2	427.1123133198718	188.0	397.42903044015367	5000.027387184589	0.008296426813514614	30000.0	10.0	1.332576945336868	-0.7813075479630864	1.758895874023436	0.8314014607108204	0.3886099747071156	0.467415554424053	-0.001196402399701594	31.999999999999968	-31.999999999999968	0.1	15.113606157222176	1.0373128925196062	0.5005867713375954	28.938905523969044	-28.938905523969044
1.3	441.933555912247	187.0	440.14026132444303	5000.033571313797	0.01320541791322266	30000.0	10.0	1.3788188631125309	-0.6250460383704692	1.6511230468749984	0.8074681141262517	0.3812989805595752	0.4722155263953336	-0.00947658339845164	31.999999999999968	-31.999999999999968	0.10833333333333334	15.149312298033509	1.039394366409107	0.5286714885390247	30.288126813678822	-30.288126813678822
1.4	456.78973025191874	186.0	484.33361574206253	5000.043756160646	0.018214437519457654	30000.0	10.0	1.4251698466018217	-0.6250460383704692	1.5444869995117174	0.7882620674613555	0.3479105475379621	0.441364061394491	-0.004311822703743671	31.999999999999968	-31.999999999999968	0.11666666666666667	15.179667878664498	1.0000000074785746	0.5567336848021887	31.670219673182512	-31.670219673182512
