t	G	R
3.55	10	30000
3.56	10	30000
3.57	10	30000
3.58	10	30000
3.59	10	30000
3.6	10	30000
3.61	10	30000
3.62	10	30000
3.63	10	30000
3.64	10	30000
3.65	10	30000
3.66	10	30000
3.67	10	30000
3.68	10	30000
3.69	10	30000
3.7	10	30000
3.71	10	30000
3.72	10	30000
3.73	10	30000
3.74	10	30000
3.75	10	30000
3.76	10	30000
3.77	10	30000
3.78	10	30000
3.79	10	30000
3.8	10	30000
3.81	10	30000
3.82	10	30000
3.83	10	30000
3.84	10	30000
3.85	10	30000
3.86	10	30000
3.87	10	30000
3.88	10	30000
3.89	10	30000
3.9	10	30000
3.91	10	30000
3.92	10	30000
3.93	10	30000
3.94	10	30000
3.95	10	30000
3.96	10	30000
3.97	10	30000
3.98	10	30000
3.99	10	30000
4	10	30000
4.01	10	30000
4.02	10	30000
4.03	10	30000
4.04	10	30000
4.05	10	30000
4.06	10	30000
4.07	10	30000
4.08	10	30000
4.09	10	30000
4.1	10	30000
4.11	10	30000
4.12	10	30000
4.13	10	30000
4.14	10	30000
4.15	10	30000
4.16	10	30000
4.17	10	30000
4.18	10	30000
4.19	10	30000
4.2	10	30000
4.21	10	30000
4.22	10	30000
4.23	10	30000
4.24	10	30000
4.25	10	30000
4.26	10	30000
4.27	10	30000
4.28	10	30000
4.29	10	30000
4.3	10	30000
4.31	10	30000
4.32	10	30000
4.33	10	30000
4.34	10	30000
4.35	10	30000
4.36	10	30000
4.37	10	30000
4.38	10	30000
4.39	10	30000
4.4	10	30000
4.41	10	30000
4.42	10	30000
4.43	10	30000
4.44	10	30000
4.45	10	30000
4.46	10	30000
4.47	10	30000
4.48	10	30000
4.49	10	30000
4.5	10	30000
4.51	10	30000
4.52	10	30000
4.53	10	30000
4.54	10	30000
4.55	10	30000
4.56	10	30000
4.57	10	30000
4.58	10	30000
4.59	10	30000
4.6	10	30000
4.61	10	30000
4.62	10	30000
4.63	10	30000
4.64	10	30000
4.65	10	30000
4.66	10	30000
4.67	10	30000
4.68	10	30000
4.69	10	30000
4.7	10	30000
4.71	10	30000
4.72	10	30000
4.73	10	30000
4.74	10	30000
4.75	10	30000
4.76	10	30000
4.77	10	30000
4.78	10	30000
4.79	10	30000
4.8	10	30000
4.81	10	30000
4.82	10	30000
4.83	10	30000
4.84	10	30000
4.85	10	30000
4.86	10	30000
4.87	10	30000
4.88	10	30000
4.89	10	30000
4.9	10	30000
4.91	10	30000
4.92	10	30000
4.93	10	30000
4.94	10	30000
4.95	10	30000
4.96	10	30000
4.97	10	30000
4.98	10	30000
4.99	10	30000
5	10	30000
5.01	10	30000
5.02	10	30000
5.03	10	30000
5.04	10	30000
5.05	10	30000
5.06	10	30000
5.07	10	30000
5.08	10	30000
5.09	10	30000
5.1	10	30000
5.11	10	30000
5.12	10	30000
5.13	10	30000
5.14	10	30000
5.15	10	30000
5.16	10	30000
5.17	10	30000
5.18	10	30000
5.19	10	30000
5.2	10	30000
5.21	10	30000
5.22	10	30000
5.23	10	30000
5.24	10	30000
5.25	10	30000
5.26	10	30000
5.27	10	30000
5.28	10	30000
5.29	10	30000
5.3	10	30000
5.31	10	30000
5.32	10	30000
5.33	10	30000
5.34	10	30000
5.35	10	30000
5.36	10	30000
5.37	10	30000
5.38	10	30000
5.39	10	30000
5.4	10	30000
5.41	10	30000
5.42	10	30000
5.43	10	30000
5.44	10	30000
5.45	10	30000
5.46	10	30000
5.47	10	30000
5.48	10	30000
5.49	10	30000
5.5	10	30000
5.51	10	30000
5.52	10	30000
5.53	10	30000
5.54	10	30000
5.55	10	30000
5.56	10	30000
5.57	10	30000
5.58	10	30000
5.59	10	30000
5.6	10	30000
5.61	10	30000
5.62	10	30000
5.63	10	30000
5.64	10	30000
5.65	10	30000
5.66	10	30000
5.67	10	30000
5.68	10	30000
5.69	10	30000
5.7	10	30000
5.71	10	30000
5.72	10	30000
5.73	10	30000
5.74	10	30000
5.75	10	30000
5.76	10	30000
5.77	10	30000
5.78	10	30000
5.79	10	30000
5.8	10	30000
5.81	10	30000
5.82	10	30000
5.83	10	30000
5.84	10	30000
5.85	10	30000
5.86	10	30000
5.87	10	30000
5.88	10	30000
5.89	10	30000
5.9	10	30000
5.91	10	30000
5.92	10	30000
5.93	10	30000
5.94	10	30000
5.95	10	30000
5.96	10	30000
5.97	10	30000
5.98	10	30000
5.99	10	30000
6	10	30000
6.01	10	30000
6.02	10	30000
6.03	10	30000
6.04	10	30000
6.05	10	30000
6.06	10	30000
6.07	10	30000
6.08	10	30000
6.09	10	30000
6.1	10	30000
6.11	10	30000
6.12	10	30000
6.13	10	30000
6.14	10	30000
6.15	10	30000
6.16	10	30000
6.17	10	30000
6.18	10	30000
6.19	10	30000
6.2	10	30000
6.21	10	30000
6.22	10	30000
6.23	10	30000
6.24	10	30000
6.25	10	30000
6.26	10	30000
6.27	10	30000
6.28	10	30000
6.29	10	30000
6.3	10	30000
6.31	10	30000
6.32	10	30000
6.33	10	30000
6.34	10	30000
6.35	10	30000
6.36	10	30000
6.37	10	30000
6.38	10	30000
6.39	10	30000
6.4	10	30000
6.41	10	30000
6.42	10	30000
6.43	10	30000
6.44	10	30000
6.45	10	30000
6.46	10	30000
6.47	10	30000
6.48	10	30000
6.49	10	30000
6.5	10	30000
6.51	10	30000
6.52	10	30000
6.53	10	30000
6.54	10	30000
6.55	10	30000
6.56	10	30000
6.57	10	30000
6.58	10	30000
6.59	10	30000
6.6	10	30000
6.61	10	30000
6.62	10	30000
6.63	10	30000
6.64	10	30000
6.65	10	30000
6.66	10	30000
6.67	10	30000
6.68	10	30000
6.69	10	30000
6.7	10	30000
6.71	10	30000
6.72	10	30000
6.73	10	30000
6.74	10	30000
6.75	10	30000
6.76	10	30000
6.77	10	30000
6.78	10	30000
6.79	10	30000
6.8	10	30000
6.81	10	30000
6.82	10	30000
6.83	10	30000
6.84	10	30000
6.85	10	30000
6.86	10	30000
6.87	10	30000
6.88	10	30000
6.89	10	30000
6.9	10	30000
6.91	10	30000
6.92	10	30000
6.93	10	30000
6.94	10	30000
6.95	10	30000
6.96	10	30000
6.97	10	30000
6.98	10	30000
6.99	10	30000
7	10	30000
7.01	10	30000
7.02	10	30000
