M	D	A	C_x	C_y	C_xa	C_ya	m_z	C_x_дн
3.5	-8.4	-5.2	0.10912846	-0.673990104	0.206633074	-0.653955393	0.905082863	0.066245034
3.5	-8.4	-4	0.107974678	-0.519285474	0.175377533	-0.504716967	0.833104586	0.065354786
3.5	-8.4	-2.8	0.107672578	-0.380257523	0.156236307	-0.369659531	0.776933067	0.063879791
3.5	-8.4	-1.6	0.108112551	-0.244054223	0.141071237	-0.237157099	0.724709099	0.062980028
3.5	-8.4	-0.4	0.110036672	-0.113500228	0.133858477	-0.109764677	0.680380233	0.063230731
3.5	-8.4	0.8	0.111805485	0.018898824	0.132659355	0.019575186	0.632972568	0.064514268
3.5	-8.4	2	0.113496645	0.152220403	0.134467053	0.149888768	0.584025505	0.066314223
3.5	-8.4	3.2	0.11688004	0.296205047	0.148073294	0.290385449	0.523410436	0.066592773
3.5	-8.4	4.4	0.120502985	0.445505838	0.165836712	0.435804119	0.457585155	0.066703639
3.5	-8.4	5.6	0.124605031	0.605438923	0.191914486	0.591066767	0.381339451	0.066479135
3.5	-8.4	6.8	0.129446172	0.781367509	0.228345165	0.760905514	0.288642756	0.066791709
3.5	-8.4	8	0.134656861	0.965293844	0.269952295	0.938032309	0.187720566	0.067372822
3.5	-8.4	9.2	0.140882031	1.169134054	0.32861785	1.131929578	0.065588144	0.068440873
3.5	-8.4	10.4	0.147396608	1.377196926	0.392990479	1.328681917	-0.059871843	0.069337735
3.5	-8.4	11.6	0.154489998	1.593705125	0.468777255	1.531144393	-0.191986957	0.069892217
3.5	-8.4	12.8	0.162210768	1.815657626	0.555906839	1.735678327	-0.325252319	0.070151062
3.5	-8.4	14	0.170245229	2.040332278	0.648707827	1.941247988	-0.459092803	0.070262087
3.5	-8.4	15.2	0.179143113	2.271934041	0.758689266	2.147705304	-0.594568373	0.070043373
3.5	-8.4	16.4	0.188291333	2.505257987	0.874315557	2.353561617	-0.730135816	0.069802446
3.5	-8.4	17.6	0.197940224	2.742026299	1.001231555	2.558215923	-0.865887005	0.069517096
3.5	-8.4	18.8	0.208072447	2.98226758	1.139550175	2.761023793	-1.003807273	0.069193323
3.5	-8.4	20	0.218446337	3.224245344	1.283570105	2.962908447	-1.14281208	0.06885034
3.5	-7.6	-10	0.119563045	-1.371267887	0.398881635	-1.317707572	1.249677127	0.067555645
3.5	-7.6	-8.8	0.115991007	-1.180497966	0.337766443	-1.137879714	1.126044948	0.067452819
3.5	-7.6	-7.6	0.112867248	-0.995630333	0.282031522	-0.962846316	1.011194212	0.067275121
3.5	-7.6	-6.4	0.110640048	-0.822567274	0.237057142	-0.797401842	0.91390636	0.06694768
3.5	-7.6	-5.2	0.10912846	-0.661906753	0.201584394	-0.6428137	0.833491558	0.066245034
3.5	-7.6	-4	0.107974678	-0.507447501	0.170862462	-0.493653726	0.761513281	0.065354786
3.5	-7.6	-2.8	0.107672578	-0.36871159	0.152243935	-0.358751126	0.705341762	0.063879791
3.5	-7.6	-1.6	0.108112551	-0.232815244	0.137595201	-0.226428166	0.653117794	0.062980028
3.5	-7.6	-0.4	0.110036672	-0.102598032	0.130886054	-0.099264484	0.608788928	0.063230731
3.5	-7.6	0.8	0.111805485	0.029435883	0.130172592	0.029799664	0.561381264	0.064514268
3.5	-7.6	2	0.113496645	0.162378148	0.132456973	0.159814044	0.512434201	0.066314223
3.5	-7.6	3.2	0.11688004	0.305943439	0.14650556	0.299945414	0.451819131	0.066592773
3.5	-7.6	4.4	0.120502985	0.45481245	0.164697591	0.444978474	0.38599385	0.066703639
3.5	-7.6	5.6	0.124605031	0.614288898	0.191176509	0.599814912	0.309748146	0.066479135
3.5	-7.6	6.8	0.129446172	0.789907084	0.227982607	0.769359837	0.217051451	0.066791709
3.5	-7.6	8	0.134656861	0.97359614	0.269952295	0.946259005	0.116129261	0.067372822
3.5	-7.6	9.2	0.140882031	1.177673629	0.328980408	1.140383902	-0.006003161	0.068440873
3.5	-7.6	10.4	0.147396608	1.386046901	0.393728457	1.337430062	-0.131463148	0.069337735
3.5	-7.6	11.6	0.154489998	1.603011736	0.469916377	1.540318748	-0.263578262	0.069892217
3.5	-7.6	12.8	0.162210768	1.825396018	0.557474573	1.745238292	-0.396843623	0.070151062
3.5	-7.6	14	0.170245229	2.050490023	0.650717907	1.951173264	-0.530684108	0.070262087
3.5	-7.6	15.2	0.179143113	2.2824711	0.761176029	2.157929782	-0.666159678	0.070043373
3.5	-7.6	16.4	0.188291333	2.516160183	0.877287981	2.36406181	-0.80172712	0.069802446
3.5	-7.6	17.6	0.197940224	2.753265278	1.004707591	2.568944855	-0.93747831	0.069517096
3.5	-7.6	18.8	0.208072447	2.993813513	1.143542547	2.771932197	-1.075398578	0.069193323
3.5	-7.6	20	0.218446337	3.236083317	1.288085175	2.973971688	-1.214403385	0.06885034
3.5	-6.8	-10	0.119563045	-1.358446554	0.391700085	-1.306642237	1.178085822	0.067555645
3.5	-6.8	-8.8	0.115991007	-1.167824168	0.331115044	-1.126736605	1.054453644	0.067452819
3.5	-6.8	-7.6	0.112867248	-0.983120592	0.275912266	-0.951651551	0.939602907	0.067275121
3.5	-6.8	-6.4	0.110640048	-0.810254638	0.231474013	-0.786207655	0.842315055	0.06694768
3.5	-6.8	-5.2	0.10912846	-0.649823403	0.196535714	-0.631672007	0.761900253	0.066245034
3.5	-6.8	-4	0.107974678	-0.495609528	0.166347391	-0.482590485	0.689921976	0.065354786
3.5	-6.8	-2.8	0.107672578	-0.357165657	0.148251562	-0.347842722	0.633750457	0.063879791
3.5	-6.8	-1.6	0.108112551	-0.221576265	0.134119165	-0.215699233	0.58152649	0.062980028
3.5	-6.8	-0.4	0.110036672	-0.091695836	0.127913631	-0.088764291	0.537197623	0.063230731
3.5	-6.8	0.8	0.111805485	0.039972941	0.127685828	0.040024142	0.489789959	0.064514268
3.5	-6.8	2	0.113496645	0.172535893	0.130446892	0.16973932	0.440842896	0.066314223
3.5	-6.8	3.2	0.11688004	0.315681831	0.144937826	0.309505379	0.380227826	0.066592773
3.5	-6.8	4.4	0.120502985	0.464119061	0.16355847	0.454152829	0.314402545	0.066703639
3.5	-6.8	5.6	0.124605031	0.623138872	0.190438531	0.608563057	0.238156842	0.066479135
3.5	-6.8	6.8	0.129446172	0.79844666	0.227620049	0.77781416	0.145460147	0.066791709
3.5	-6.8	8	0.134656861	0.981898437	0.269952295	0.954485701	0.044537956	0.067372822
3.5	-6.8	9.2	0.140882031	1.186213205	0.329342966	1.148838225	-0.077594466	0.068440873
3.5	-6.8	10.4	0.147396608	1.394896875	0.394466435	1.346178207	-0.203054453	0.069337735
3.5	-6.8	11.6	0.154489998	1.612318347	0.471055498	1.549493103	-0.335169567	0.069892217
3.5	-6.8	12.8	0.162210768	1.83513441	0.559042307	1.754798257	-0.468434928	0.070151062
3.5	-6.8	14	0.170245229	2.060647768	0.652727988	1.96109854	-0.602275413	0.070262087
3.5	-6.8	15.2	0.179143113	2.293008159	0.763662793	2.16815426	-0.737750982	0.070043373
3.5	-6.8	16.4	0.188291333	2.527062379	0.880260404	2.374562002	-0.873318425	0.069802446
3.5	-6.8	17.6	0.197940224	2.764504257	1.008183627	2.579673788	-1.009069614	0.069517096
3.5	-6.8	18.8	0.208072447	3.005359446	1.147534919	2.782840602	-1.146989883	0.069193323
3.5	-6.8	20	0.218446337	3.24792129	1.292600246	2.98503493	-1.28599469	0.06885034
3.5	-6	-10	0.119563045	-1.34562522	0.384518536	-1.295576901	1.106494517	0.067555645
3.5	-6	-8.8	0.115991007	-1.15515037	0.324463646	-1.115593496	0.982862339	0.067452819
3.5	-6	-7.6	0.112867248	-0.970610852	0.26979301	-0.940456786	0.868011603	0.067275121
3.5	-6	-6.4	0.110640048	-0.797942001	0.225890885	-0.775013468	0.77072375	0.06694768
3.5	-6	-5.2	0.10912846	-0.637740053	0.191487034	-0.620530315	0.690308947	0.066245034
3.5	-6	-4	0.107974678	-0.483771556	0.161832321	-0.471527244	0.61833067	0.065354786
3.5	-6	-2.8	0.107672578	-0.345619724	0.14425919	-0.336934318	0.562159152	0.063879791
3.5	-6	-1.6	0.108112551	-0.210337287	0.130643129	-0.2049703	0.509935185	0.062980028
3.5	-6	-0.4	0.110036672	-0.08079364	0.124941208	-0.078264098	0.465606318	0.063230731
